,,,,,,,
filename,question,category,answer,empathy,reassurance,humour,persuasion
Jay Kinder_s Personal Meeting Room_s transcript (10).txt,"You just come here, and I'll give you one deal a month, one deal a month. I'll give you one deal every 2 months. How about that?",results/timeline,"Yeah, yeah, so, so. So here's the so here's the thing. So this is a decision you have to make. I'll give you my feedback on my thoughts. So. It's it's not a bad idea, but I can just tell you my experience. Like, if I you could recruit. Agents all day long if you want to cover the ad spend. But what what I've noticed is the agents that we're talking to. They've all spent money themselves on zillow realtor.com everything that you can imagine right? They've all tried it all, and none of it really works, and it got real expensive, so like they don't want to do it. 300 bucks is not a lot of money to generate a hundred leads. So you know, it's a really good solution if but if you put the your money up, if if and again, I think this was more more. If you do it, it's there's got to be a real clear process for who you're saying. You'll do it, for it can't be that loser that's not going to be successful, no matter what. Because it is you're just wasting money because they don't make. They don't sell anything, and you're spending 300 bucks, or you could say, I'll do it on a referral basis. And and you know and you take the you know you take the revenue from that. My system. I'll build it all. You just keep the difference on what you if you're putting the money, I don't care who puts the money up. You put the money up. They put the money up.",FALSE,FALSE,FALSE,TRUE
Jay Kinder_s Personal Meeting Room_s transcript (10).txt,"Of that level, right? So so Exp. Has been ill advised.",recruiting,Wow! Wow!,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (10).txt,Okay? And also when you're sending me those links also send me that um.,results/timeline,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (10).txt,"Oh, okay, from from the initial one. Right? Right? Right? Yup.",general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (11).txt,"What's up, guys? I'm the last one here. Appreciate y'all.",general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (11).txt,Hey? How's it going.,general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (11).txt,But we were talking about the market there. How's the market for you?,market/geography,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (11).txt,"Gosh, what's today? Thursday? It was earlier this week, I think, or it might have been tail into last week, and he's got a lot going on, you know. We talked about the.",general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (11).txt,What is it?,general,"The the old school, you know, the old school model legacy models of century 21 Coldwell banker. All that. They've held strong there, and most markets are dying, and so.",FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (11).txt,"Oh, yeah, right?",general,"Yeah, dude. He was incredible. But you know, I'm just telling like guys, we're sitting at a time and place in history where everybody that every new model that comes along is gonna be like Exp. But nobody's catching us, because.",FALSE,FALSE,FALSE,TRUE
Jay Kinder_s Personal Meeting Room_s transcript (11).txt,"Oh, what the hell is his name?",general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (11).txt,"Okay? And so part of this is because I know this is the best decision for the 4 of us. Um, 5 of us, I guess when we add Dj. And.",results/timeline,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (12).txt,Hey? Testing.,general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (12).txt,"Here, we, hey? How you doing.",general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (12).txt,"Earlier this week, was it? Was it yesterday or day before? I remember my days around.",results/timeline,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (12).txt,What was the what you told me a little bit? What did she do?,general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (12).txt,"Um. And then, you know, recently went full time. Was it February?",results/timeline,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (12).txt,Did you? Okay? You watched it again. Cool. So it's all fine.,general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (12).txt,"E, yeah, what is it? Ex.",general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (12).txt,"Yeah. And uh, was, I like that meeting? But then I talked to you. I like this, and I like the honey badger thing and all that good stuff.",general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (12).txt,"Um. He's all ears, and we we'd love to partner with people who are, you know, like minded, driven, motivated? Um. So what did you. What did you like about it? The second time you watched it.",results/timeline,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (12).txt,I guess. Yeah. So um step. Do you have a step by step process? You say I don't have to reinvent the wheel.,onboarding/setup,Nope.,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (12).txt,"Right? Right, Dave, that that's a government agency, Dave. I don't know if you're familiar, but, like you gotta we gotta go through every every human that uses a any kind of one of these these systems that sends text has to go through it. I don't know if I told you this, Jay.",crm/tools,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (12).txt,"These people are on Google searching right? Or you run a Facebook Instagram ad, and that's not a search.",leads,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (12).txt,"Yeah, he's a freaking. He's a savant when it comes to 8 Facebook ads. Why? Cause he literally does it a hundred times a day. He's working so many different ads, and he's just an expert. I couldn't do it. Jay couldn't do it, you know, so like it's an advantage.",leads,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (12).txt,"To have this in your corner and not really have to pay for it. Really, you know, because to hire someone like you, I mean, Jay, what do we pay that one company? 6 grand a month.",fees/splits,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (12).txt,I just uh what does it entail as far as me being in Florida? You guys are up there. Do I have to be a local office here? Do I have to.,general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (12).txt,How does that all work? Can I work around my house.,general,"Yeah, so yeah, so so, exp is is a globe global brokerage. Right? So we have physical space just to satisfy the state. You know what the State requires.",FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (12).txt,"What? Cm, what? I don't even use a Crm. Right now, to be honest, I've had some.",crm/tools,"Yeah. Right, we're gonna train. We're gonna we're gonna set that up for you cause you're gonna get access. When once you're live, they give you access to it. Once that happens. We're going to go into that Crm with you and map it ourselves. We do that without you having to do it. But we're gonna map it for you with all of the all of what we know is best practice. What's.",FALSE,FALSE,FALSE,TRUE
Jay Kinder_s Personal Meeting Room_s transcript (12).txt,"Okay, yeah. I guess that's what I when do I touch that? When I guess you guys won't tell me when I when it's a warm enough lead to go touch, or do I or I, or am I putting this information in every minute.",leads,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (12).txt,"Yeah, I never worked with a a new construction as far as that, I mean, how do I go to them as a road and say, Hey, if I I mean I know I used to see flyers all the time like, hey?",results/timeline,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (12).txt,What kind of conversation can I have with them right now today? And.,general,"Yeah, just, you know, just I would just become knowledgeable. Right? Say, what are you guys offering, you know, offering for for your buyers? Right like, because the more you become an expert and like when you have that 1st conversation like, listen, if you want to live in this city.",FALSE,FALSE,FALSE,TRUE
Jay Kinder_s Personal Meeting Room_s transcript (12).txt,"Like, why didn't we buy a bunch of land back then, when we didn't have 2 pennies to rub together? But.",results/timeline,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (12).txt,Now? What.,general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (14).txt,"Let me text this guy, hey? So I got this. I got the biggest whale I know at the boat man. He's not on the hook. He's been on the hook.",general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (14).txt,"And I said, Why did he join Morris? They said, oh, they were cigar buddies. I'm like, that's not a good. That's not a good sponsorship idea.",recruiting,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (14).txt,"Love Morris, but you know, wasn't the guy. So talking to Brian, I said what kind of happened before? And he said, Well.",general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (14).txt,"Why don't we tell him? Hey? Get licensed, and then all hillsman's calls. He'll put all the people under you. You can offset his salary.",support/training,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (14).txt,We do?,general,"So. But we're we're naming as co-sponsor on those those are. Those are, gonna be my.",FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (14).txt,"Hey? I need. I need help. So I'm going to do the recruiting. We're going to place them under you, and you do what you're good at. It's talking to them and just get them in the system.",crm/tools,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (14).txt,Right? Yeah. And then um.,general,"I would say I would say if he here's what I would say. Braden Braden isn't the best at. Um like. I've got people that I've I've got like this Juan Carlos guy that's he's been doing really good. He's super needy. He drives me crazy. But. Yeah, he's like, I need your support. I need your support. He's got 11 deals already. But I need your support. I said, listen, I'm not your fucking, mama. Okay, I'm not gonna call you. So if you need something, get clear on what you need, call me and ask me a question. Don't call me and tell me you're doing this, you're doing that. I want to do this. I want to like call. You have to treat.",FALSE,FALSE,FALSE,TRUE
Jay Kinder_s Personal Meeting Room_s transcript (14).txt,"Well, I mean I I can work on it for sure, but I think my offer about, hey? I'll be the sponsor.",recruiting,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (14).txt,Who who could I put them under? Who could I put them under on your staff? That will help offset your.,support/training,"Yeah, well. It would be holly cause that they they have. They have the Llc. Under like the payee for holly is their Llc. Together.",FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (14).txt,"Yeah, I get it. I got a 23 year old, son, so I get it like I could. I give you his number, and you tell him something I've been telling him, and he'd go. Hey? Jay told me.",general,"And so. Yeah, right? Well, yeah. So I I you know, I think, hearing it from you. Would be better, you know. Maybe he'll he'll get he'll anyway. He called me last night. I was on a date night, so he had an idea on something I don't know, but. He's he's kind of starting at one. He's wanting to kind of follow his passion and and the fitness stuff, and all of that. Um. He doesn't want to not do what he's doing here, but he's wanting to do something else, too, and so.",FALSE,FALSE,FALSE,TRUE
Jay Kinder_s Personal Meeting Room_s transcript (14).txt,Hey? On a humorous note kind of end on a humorous note. I'm fine telling you this. You'll think you get more of a kick out of it than it is alarming. But so Harley was showing me all Andre's spreadsheet.,leads,Right.,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (14).txt,"Um. We'll just start putting them under holly, and then, if that doesn't work with Brayden, then I'll circle back and go. Hey, see? You know, check this out and that, divided by 4 that could be.",onboarding/setup,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (14).txt,"Yeah. Is that your goal, though? Offset some of your cost with them, with Russia.",fees/splits,"Yeah, I mean, yeah, I mean. Yeah, I mean, I think it's it. It. Right now. It's not to offset it. It's to create an opportunity that they see to stay the course. Um. They're all very well compensated, but I want I want them to see this as their opportunity.",FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (14).txt,"Well, I could sell that, too. I could really sell it on. Hey? Holly's going to be your co-sponsor, and let me tell you what? So she's got Braden, who does the funnel? You're going to be so close to the inside circle of this stuff. It's crazy.",leads,"Yeah, yeah, yeah, yeah.",FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (14).txt,"Alright man, I appreciate you. I'll follow up with this guy. He's 1 of the guys that I'm gonna go. What happened dude? We get. Get him back on your calendar, and then I'll get with Harley on. Did I send you that.",general,"I love it. Okay, yeah. Get with Holly on this that calendar thing which she was working on yesterday because I've had. I've got. This is a different scenario. I don't know. I don't have any. I've not had anybody else that has a call that it doesn't show up. It rarely happens every once in a while I have had it happen, but it's it's more rare. I'm just having double bookings in some cases where people are. If they're using my old calendar link um.",FALSE,FALSE,FALSE,TRUE
Jay Kinder_s Personal Meeting Room_s transcript (14).txt,"Thanks. Bye-bye, hey? Ender's coming on, Lady Ender kinder. We had a three-way with her.",general,"Alright, bye, yep. Yeah.",TRUE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,I'm doing well. How are you?,general,Fantastic.,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"Oh, yeah, I was. I was like, alright, Clark, you got like 5 seconds. I'm already late. But let's go. How can I help you?",support/training,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"Okay, I'm gonna leave Clark up so I can go back and check them out here in a second. Okay? So.",general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,What are we losing?,general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"Even though Cassie Tracy were saying, Hey, the next step is to get your ads launch. You'll see it. It was always going to spam, or they were just losing it, or they never saw it. So then they got kind of stuck into that limbo. Of what do I do next?",leads,Okay. You gotta treat me like I'm I'm stuck already alright. So.,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"48 h, however long we want to make it and say, Hey, just touching base, have you? Has your license been transferred? Yet? If so, click here to book a welcome call. So it goes to the recruit.",support/training,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,This person's been in here check. Have they been transferred? Yes or no?,general,"Okay? Question, so what? So what happened? So so where? So what bucket are they gonna live in? If they have lot transferred their license. If they're if they transfer. Okay, so we won't know. So that's I guess that's the issue. So.",FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"This is right here. So like, this is where, okay? So like, this is the okay. They. They're on the books to have a welcome call. They have their welcome call.",market/geography,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"I was like, what is that?",general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"I was gonna say in in another sub account, when somebody moves anyone into a verbally committed this is kind of like, hey? This is, what's what's coming up. These are people who they haven't application, Walkthrough, but these are verbally committed from other accounts.",results/timeline,Yup! Yup! Yup!,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"Then once they book, they get moved over to a booked onboarding call. Now, one thing we need to put into place is going to be a missed, you know. Hey? You missed our call. Hop back into our calendar. Click here.",onboarding/setup,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"To copy for me. Hold on, just let me see if I can get it to go pull up over here again, because I'm making these notes, because what's gonna happen is we're gonna be like, Oh, fuck! What did we say again?",general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,What the fuck? Why is this so icky? Now.,general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"Okay? Well, real quick, then let's change that nip that nip. Be.",general,"That one, that one we can check off the box quick.",FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"Or should it say, Miss canceled application? Walkthrough.",general,Yeah.,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,Alright! Are we good with these pipelines before I click or save it?,general,"Yeah, I think so.",FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"You know a buyer seller, pipeline. Should we have application complete? You know.",general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"We almost need like a bucket for those like Brad corn. So he doesn't get enrolled into that workflow. That's like within 48 h. Hey, Brad, did your application go live? It makes us look silly, because he's like, wait a minute. I just literally talked to Cassie about this, and I'm not coming over.",general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"We need to have it reminders going out saying, Hey, it looks like, you know, just checking in, you know. Have you? Have you gone, live, yet type, thing.",general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,Do we call?,support/training,"With a, a. Move date as like determine like, if you if you tell me you're coming over on August first, st or you tell me you're coming over on July 31, st or whatever. At least we have confirmed the date. You're moving over.",FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"Uh, whatever. Send them to the email, or whatever would that be? Something that we could? We should have, you know, on a daily basis. Because I mean, look looking at it right now, there's a lot of people. And this is just the line in the sand. There's.",general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"That that line? Then? Yeah, that would make sense, Holly, to have it like that. But if.",general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"Okay, he's not moving over for weeks. It will unenroll him into that that campaign we had talked about doing, of sending the reminder like, hey? Just checking in, are you? You know.",general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"Exactly cause me and Harley both get this, and if there's ever an issue or something, they put it right here, and we can sit clearly, see, like, Hey, everything was done, or Hey we? This was a problem, or whatever.",general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"Where does that get sent? Where does it get stored at in the contact record, or.",market/geography,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,Moving. What do you mean?,general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"What is this eta for the timeline, or whatever you can put in the date? And you can say.",results/timeline,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,You know you just want to check in with you. How are things coming along? Are you moved over.,general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"Maybe another 48 h. Hey? Just want to reach back out you still, you know.",general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"What's your status, or whatever? However, we want to put that.",general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"We wouldn't want another um message going out 48 h going, hey? When are you gonna transfer? You know what I mean?",results/timeline,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"Everyone else is just kind of like, hey? As soon as your broker proves that you're live type thing.",general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"Well, the thing is we, we they complete. We need the welcome. Let's get to the to the welcome email, right? So that should go out after the application, complete.",general,Yeah. No doubt that like.,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"I'll how about? I'll send you the welcome guide with the checklist, too.",leads,What is that? I don't even know what that is. What is that? Did y'all.,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"Yeah. The one that trade? Yeah, no, that's not it.",general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,Tracy cause? Aren't we gonna start using the same email or the same welcome email?,onboarding/setup,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,Okay? And then the guide is different. So it's a it's a.,general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"Cause. I went through it, and thinking it, could we make it feel better? And I couldn't come up with anything that would make it.",fees/splits,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"Right? Oh, yeah, and there's no way around that. That is ridiculous.",general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"But you mean just the honey badger nation stuff, Jay, is that what you're saying?",general,"I'm saying everything I'm saying like, if if there's if there's a place that you pointed someone to.",FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"No? Well, no, because I'm gonna I'm about to kill myself here, because what I'm about to say is.",general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"I don't be too much asking them to create a login. They're under. Create a login at some point, anyways, to get into funnel pilot so like we would just ha! Because, like what they do is they have all these different modules. Right? So it's kind of like.",leads,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,It? Yep.,general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"And I wouldn't say nervous or whatever. Maybe this is scarcity mindset. But I'm like, if we created a landing page of everything that's a forward phasing public link that anyone could. Do. You know what I mean? That.",market/geography,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,Okay. Will you look at that?,general,"It's a collection of your welcome email, your.",FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,And not just leave out the code right?,general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,So what can? What is the welcome email? So the welcome email can go out.,general,"So, okay, all right. So.",FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"Automatically from go high level, right? Because it needs to be the same for both of us. I just what is it? Where is it?",market/geography,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,What?,general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,Yours. Okay? So there's the next.,general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"Yeah, go right? Ahead. Yeah. Make them stand out.",general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"So I'm like trying to look at. I'm like, Okay, where's it? At.",market/geography,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,Are you talking about the ones that we're looking at?,general,Yeah.,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,Hey? Jeff.,general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"And if we need to move things around later, we can but go with what? What those email templates are showing.",general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,Alright cool! Do we need to book that meeting now?,general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"Okay. So today's Wednesday, do we want to do early next week? That way? We'll have the end of this week, and then.",general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,Or do we want to have those pushed out? What's the what's the goal of everything being completed by next week's meeting?,general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,Right? Sure. No problem.,general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"When I try to connect you, can I ask what you're calling about?",results/timeline,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"Hey? Sorry about that, you? There? Yeah, I'm here.",general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,Did you get? Did you get my message.,general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"Alright, hey? In the meantime let me show you this cool shit.",results/timeline,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"Okay? And then dude, that's just the surface. Bro, then you keep going here.",general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,Is this right here?,general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,And it asks what? And this is a a sales navigator profile for an agent. So I got that connected so we can scrape.,general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"Okay, how many do I want to export per launch? So we're going to export Bro, that it's going to search broker.",recruiting,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,And we got these little things that are set here. Okay? And then I hit save.,general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,"All right, down I get company. Now, what's missing is like that email, what? Okay? Phone number.",general,"But you could take this Csv. And throw that into Chat Gpt and say, Hey, go find the missing information.",FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (15).txt,And so what the you stack them? You do the 1st phantom.,general,,FALSE,FALSE,FALSE,FALSE
Jay Kinder_s Personal Meeting Room_s transcript (16).txt,"Um, would he be able to use your services as well when he sponsors, agents, co-sponsors with you?",results/timeline,"Yeah, for sure. Yep. For sure. Yeah, if he has somebody he wants to name me as Coast. He doesn't have to get an accelerate platform to do that.",TRUE,FALSE,FALSE,FALSE
